Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,Carbon Emissions (kg CO2e),Recycling Rate (%),Energy Consumption (MWh),Use of Renewable Energy (%),Green Packaging Usage (%)
ResMed,Vendor Managed Inventory,200,10,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,37317457,262000,70,171000,64,56
Dexcom,Lean Manufacturing,100,4,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,48170988,263000,60,171500,65,57
Masimo,Vendor Managed Inventory,150,6,11,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,11609077,264000,61,172000,50,58
Align Technology,Agile SCM,250,5.2,7,98,85,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,55229239,265000,62,172500,51,59
Cooper Companies,Lean Manufacturing,400,6,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,50296558,266000,63,173000,52,60
Hill-Rom,Agile SCM,200,50,12,91,88,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,44910238,267000,64,173500,53,40
Teleflex,Sustainable SCM,20000,6.2,11,90,85,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,81550309,268000,65,174000,54,41
Envista Holdings,Lean Manufacturing,500,4.2,14,90,94,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,80,10,10,Medium,85,80,79452961,269000,66,174500,55,42
Cardinal Health,Agile SCM,200,10,7,99,91,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,88,15,3,High,95,90,101164454,270000,67,175000,56,43
McKesson,Lean Manufacturing,300,5.2,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,102932339,271000,68,175500,57,44
AmerisourceBergen,Vendor Managed Inventory,100,3.5,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,24947745,272000,69,176000,58,45
Henry Schein,Agile SCM,250,8.2,7,98,88,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,55174260,273000,70,176500,59,46
Owens & Minor,Sustainable SCM,20000,5.2,11,90,93,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,15421041,274000,60,177000,60,47
Patterson Companies,Vendor Managed Inventory,150,7,9,92,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,85,12,8,High,88,85,3699392,275000,61,177500,61,48
Cerner,Just-In-Time,1300000,5.5,2,98,89,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,67227699,276000,62,178000,62,49
Allscripts,Lean Manufacturing,200,6,15,91,91,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,105995957,277000,63,178500,63,50
Epic Systems,Agile SCM,200,6,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,72073915,278000,64,179000,64,51
McKesson Technology Solutions,Demand-Driven SCM,500,10,10,92,90,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,71275365,279000,65,179500,65,52
Optum,Agile SCM,150,8.3,10,92,92,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,59387254,280000,66,180000,50,53
Athenahealth,Agile SCM,250,6,9,93,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,14421669,281000,67,180500,51,54
Meditech,Agile SCM,300,5,7,98,90,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,38334883,282000,68,181000,52,55
NextGen Healthcare,Cross-Docking,100000,7.5,2,98,90,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85,94555919,283000,69,181500,53,56
eClinicalWorks,Agile SCM,200,6,10,92,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,97935969,284000,70,182000,54,57
Greenway Health,Lean Manufacturing,10000,6,15,91,91,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,86343265,285000,60,182500,55,58
CPSI,Just-In-Time,1000000,4,3,97,90,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88,103326343,286000,61,183000,56,59
GE Centricity,Agile SCM,200,4.2,12,91,91,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,54564055,287000,62,183500,57,60
Siemens Soarian,Demand-Driven SCM,300,4.5,10,94,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,57658083,288000,63,184000,58,40
IBM Watson Health,Vendor Managed Inventory,150,5,11,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,40201138,289000,64,184500,59,41
Philips Wellcentive,Vendor Managed Inventory,100,4.5,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,38720112,290000,65,185000,60,42
Change Healthcare,Vendor Managed Inventory,100,4,10,90,87,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,70286690,291000,66,185500,61,43
Inovalon,Lean Manufacturing,300,5,22,89,88,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,46321409,292000,67,186000,62,44
Cognizant TriZetto,Lean Manufacturing,400,5.8,18,90,85,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,80197727,293000,68,186500,63,45
Orion Health,Lean Manufacturing,400,5.5,18,88,85,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,99223554,294000,69,187000,64,46
Practice Fusion,Lean Manufacturing,300,4,18,87,92,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,56996737,295000,70,187500,65,47
Zocdoc,Agile SCM,150,7.7,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,105996449,296000,60,188000,50,48
Doximity,Lean Manufacturing,500,9,14,90,89,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,71209538,297000,61,188500,51,49
Teladoc Health,Lean Manufacturing,1200,2,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,109843648,298000,62,189000,52,50
American Well,Agile SCM,359,1,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,43369429,299000,63,189500,53,51
MDLive,Sustainable SCM,459,7,4,95,88,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,80,12,5,High,90,85,271837,300000,64,190000,54,52
Doctor on Demand,Agile SCM,876,8,15,95,91,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,78,8,12,Medium,88,85,68574554,301000,65,190500,55,53
Livongo Health,Lean Manufacturing,655,5,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,50234073,302000,66,191000,56,54
Omada Health,Agile SCM,4444,5.8,8,94,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,1983510,303000,67,191500,57,55
Proteus Digital Health,Demand-Driven SCM,433,4,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,81200126,304000,68,192000,58,56
Pear Therapeutics,Agile SCM,12000,4,9,93,90,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,85,10,7,High,90,85,2235001,305000,69,192500,59,57
Akili Interactive,Lean Manufacturing,300,6,5,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85,68979793,306000,70,193000,60,58
Happify Health,Agile SCM,200,4.5,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,60736973,307000,60,193500,61,59
WellDoc,Lean Manufacturing,20000,6.5,10,92,87,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,55395427,308000,61,194000,62,60
BioTelemetry,Agile SCM,500,6,8,94,93,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,7102174,309000,62,194500,63,40
iRhythm Technologies,Lean Manufacturing,100,4.2,20,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,80,9,12,Medium,85,80,21200097,310000,63,195000,64,41
Insulet,Vendor Managed Inventory,200,4.5,7,98,92,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,85241612,311000,64,195500,65,42
Tandem Diabetes Care,Efficient Consumer Response,20000,10,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,58114586,312000,65,196000,50,43
Senseonics,Sustainable SCM,400,6.2,9,93,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,63981207,313000,66,196500,51,44
Dexcom,Lean Manufacturing,1500,4.2,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,43381574,314000,67,197000,52,45
Invitae,Agile SCM,200,5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,56294784,315000,68,197500,53,46
23andMe,Lean Manufacturing,500,6,10,90,88,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,82,11,8,High,87,85,59994989,316000,69,198000,54,47
Myriad Genetics,Agile SCM,300,5,12,88,89,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,75,8,15,Medium,80,78,85382257,317000,70,198500,55,48
Illumina,Demand-Driven SCM,500,5.2,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,34045505,318000,60,199000,56,49
Guardant Health,Lean Manufacturing,250,4.2,12,90,90,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,80,9,8,High,88,85,89583550,319000,61,199500,57,50
Tesla,Agile SCM,300,4.2,14,90,91,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,2976243,320000,62,200000,58,51
Toyota,Vendor Managed Inventory,250,5.8,10,92,87,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,66401386,321000,63,200500,59,52
General Motors,Vendor Managed Inventory,10000,4,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,56755037,322000,64,201000,60,53
Ford,Agile SCM,100,10,14,88,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,80,10,10,Medium,85,80,88917676,323000,65,201500,61,54
Honda,Agile SCM,75000,4,8,94,88,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85,33255877,324000,66,202000,62,55
BMW,Sustainable SCM,70000,6,11,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,11326238,325000,67,202500,63,56
Mercedes-Benz,Vendor Managed Inventory,100,5.2,10,90,92,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,23705257,326000,68,203000,64,57
Audi,Just-In-Time,200,6,11,90,88,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,85,10,8,High,88,85,62134784,327000,69,203500,65,58
Volkswagen,Vendor Managed Inventory,500,50,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,35703248,328000,70,204000,50,59
Nissan,Lean Manufacturing,300,6.2,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,64356139,329000,60,204500,51,60
Hyundai,Lean Manufacturing,300,4.2,12,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,84729604,330000,61,205000,52,40
Kia,Lean Manufacturing,500,10,2,98,85,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,4545584,331000,62,205500,53,41
Subaru,Vendor Managed Inventory,400,5.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,36805731,332000,63,206000,54,42
Volvo,Agile SCM,150,3.5,18,87,85,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,84673575,333000,64,206500,55,43
Land Rover,Vendor Managed Inventory,100,8.2,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,106406363,334000,65,207000,56,44
Jaguar,Agile SCM,200,5.2,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,44738554,335000,66,207500,57,45
Mazda,Agile SCM,150,7,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,43750191,336000,67,208000,58,46
Mitsubishi,Lean Manufacturing,20000,5.5,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,104263162,337000,68,208500,59,47
Porsche,Lean Manufacturing,100,6,10,90,90,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,40711153,338000,69,209000,60,48
Ferrari,Agile SCM,1300000,6,10,92,85,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,46673571,339000,70,209500,61,49
Lamborghini,Lean Manufacturing,200,10,10,92,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,89178976,340000,60,210000,62,50
Bugatti,Vendor Managed Inventory,300,8.3,20,88,94,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,107570023,341000,61,210500,63,51
Rolls-Royce,Lean Manufacturing,100,6,18,90,91,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,50441205,342000,62,211000,64,52
Bentley,Demand-Driven SCM,400,5,7,98,89,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,36258671,343000,63,211500,65,53
Aston Martin,Lean Manufacturing,150,7.5,10,93,87,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,60995761,344000,64,212000,50,54
Maserati,Sustainable SCM,150,6,12,91,91,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,84890727,345000,65,212500,51,55
McLaren,Lean Manufacturing,100,6,22,89,89,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,66385641,346000,66,213000,52,56
Koenigsegg,Vendor Managed Inventory,300,4,10,94,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,95875022,347000,67,213500,53,57
Rimac,Lean Manufacturing,150,4.2,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,34109027,348000,68,214000,54,58
Lucid Motors,Vendor Managed Inventory,500,4.5,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,57681018,349000,69,214500,55,59
Rivian,Agile SCM,400,5,20,88,88,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,7971380,350000,70,215000,56,60
Fisker,Lean Manufacturing,300,4.5,12,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,43669392,351000,60,215500,57,40
NIO,Agile SCM,300,4,12,89,93,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,107147828,352000,61,216000,58,41
Xpeng Motors,Sustainable SCM,100,5,11,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,102867961,353000,62,216500,59,42
Li Auto,Lean Manufacturing,300,5.8,7,98,90,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,80768648,354000,63,217000,60,43
Faraday Future,Agile SCM,300,5.5,18,88,88,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,36433623,355000,64,217500,61,44
Canoo,Lean Manufacturing,10000,4,12,91,85,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,102310008,356000,65,218000,62,45
Lordstown Motors,Vendor Managed Inventory,20000,7.7,11,90,94,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,101338807,357000,66,218500,63,46
Nikola,Agile SCM,500,5,14,90,91,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,80,10,10,Medium,85,80,20279847,358000,67,219000,64,47
Proterra,Sustainable SCM,200,5.8,7,99,89,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,88,15,3,High,95,90,92406062,359000,68,219500,65,48
Arrival,Vendor Managed Inventory,100,4,10,93,93,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,25301055,360000,69,220000,50,49
BYD,Just-In-Time,150,4,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,106777087,361000,70,220500,51,50
Geely,Lean Manufacturing,250,6,7,98,93,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,74583312,362000,60,221000,52,51
Changan,Agile SCM,400,4.5,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,39449977,363000,61,221500,53,52
Great Wall Motors,Demand-Driven SCM,200,6.5,9,92,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,85,12,8,High,88,85,34119118,364000,62,222000,54,53
SAIC Motor,Agile SCM,20000,6,2,98,91,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,7734103,365000,63,222500,55,54
FAW Group,Agile SCM,500,4.2,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,18727584,366000,64,223000,56,55
Dongfeng Motor,Agile SCM,200,4.5,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,97148567,367000,65,223500,57,56
BAIC Group,Cross-Docking,300,10,10,92,92,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,15734210,368000,66,224000,58,57
Tata Motors,Agile SCM,100,6.2,10,92,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,16689089,369000,67,224500,59,58
Mahindra & Mahindra,Lean Manufacturing,250,4.2,9,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,21351510,370000,68,225000,60,59
Hero MotoCorp,Just-In-Time,20000,5,7,98,90,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,4345761,371000,69,225500,61,60
Bajaj Auto,Agile SCM,150,6,2,98,89,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85,89482492,372000,70,226000,62,40
TVS Motor Company,Demand-Driven SCM,1300000,5,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,86641504,373000,60,226500,63,41
Piaggio,Vendor Managed Inventory,200,5.2,15,91,90,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,23234511,374000,61,227000,64,42
Suzuki,Vendor Managed Inventory,200,4.2,3,97,91,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88,61136439,375000,62,227500,65,43
Yamaha,Vendor Managed Inventory,500,4.2,12,91,90,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,5130398,376000,63,228000,50,44
Kawasaki,Lean Manufacturing,150,5.8,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,17028709,377000,64,228500,51,45
Harley-Davidson,Lean Manufacturing,250,4,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,44196735,378000,65,229000,52,46
Indian Motorcycle,Lean Manufacturing,300,10,12,91,87,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,81121403,379000,66,229500,53,47
Polaris,Lean Manufacturing,100000,4,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,21498556,380000,67,230000,54,48
BRP Inc.,Agile SCM,200,6,22,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,75356617,381000,68,230500,55,49
Zero Motorcycles,Lean Manufacturing,10000,5.2,18,90,85,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,104436259,382000,69,231000,56,50
Energica,Agile SCM,1000000,6,18,88,92,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,45932659,383000,70,231500,57,51
Lightning Motorcycles,Lean Manufacturing,200,50,18,87,88,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,97117136,384000,60,232000,58,52
Damon Motorcycles,Cross-Docking,300,6.2,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,44054179,385000,61,232500,59,53
Zapp Scooters,Agile SCM,150,4.2,14,90,90,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,61864220,386000,62,233000,60,54
Gogoro,Lean Manufacturing,100,10,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,82,12,7,High,90,85,4848288,387000,63,233500,61,55
Ather Energy,Agile SCM,100,5.2,15,91,88,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,81,10,12,Medium,85,85,31725527,388000,64,234000,62,56
Ola Electric,Sustainable SCM,300,3.5,4,95,91,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,85,12,5,High,90,85,28267185,389000,65,234500,63,57
Bounce,Agile SCM,400,8.2,15,95,88,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,85,8,12,Medium,88,85,48715258,390000,66,235000,64,58
Lime,Lean Manufacturing,400,5.2,12,89,91,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,105797504,391000,67,235500,65,59
Bird,Agile SCM,300,7,8,94,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,98129092,392000,68,236000,50,60
Spin,Demand-Driven SCM,150,5.5,11,90,90,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,75415326,393000,69,236500,51,40
Tier Mobility,Agile SCM,500,6,9,93,90,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,80,10,7,High,90,85,87927857,394000,70,237000,52,41
Voi Technology,Lean Manufacturing,300,6,5,93,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,80,11,5,High,90,85,18877238,395000,60,237500,53,42
Bolt Mobility,Agile SCM,200,10,10,92,87,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,102400392,396000,61,238000,54,43
Segway-Ninebot,Lean Manufacturing,20000,8.3,10,92,93,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,85,12,8,High,89,85,49160572,397000,62,238500,55,44
Unagi Scooters,Agile SCM,500,6,8,94,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,82,12,7,High,90,85,60361506,398000,63,239000,56,45
Boosted,Lean Manufacturing,100,5,20,89,92,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,81,9,12,Medium,85,80,68532151,399000,64,239500,57,46
Acton,Vendor Managed Inventory,200,7.5,7,98,89,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90,73506851,400000,65,240000,58,47
Swagtron,Efficient Consumer Response,20000,6,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,14650272,401000,66,240500,59,48
Razor,Sustainable SCM,400,6,9,93,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,46787764,402000,67,241000,60,49
Yadea,Lean Manufacturing,1500,4,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80,107991438,403000,68,241500,61,50
Niu Technologies,Agile SCM,200,4.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,43167706,404000,69,242000,62,51
ElectraMeccanica,Lean Manufacturing,500,4.5,10,90,89,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,80,11,8,High,87,85,73619290,405000,70,242500,63,52
Arcimoto,Agile SCM,300,5,12,88,88,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,80,8,15,Medium,80,78,66360177,406000,60,243000,64,53
